OBJECTID_1,OBJECTID,NAME,ID,GlobalID,created_user,created_date,last_edited_user,last_edited_date,Elk_Zone,Name_sort,regular_deer_url,elkZone_url_1,gmu_wtd_url
37,37,29,38,548b207b-91c4-429a-aac8-37a19ef54fb7,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,29,"<a href=""https://idfg.idaho.gov/node/76894"" target=""_top"">Unit 29</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76985"" target=""_top"">Unit 29</a>"
38,38,25,34,88e98da9-eebc-485c-aa63-83ac660fc303,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",McCall,25,"<a href=""https://idfg.idaho.gov/node/76912"" target=""_top"">Unit 25</a>","<a href=""https://idfg.idaho.gov/node/76853"" target=""_top"">McCall A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76854"""" target=""_top"">McCall B-Tag Limits</a>",No White-tailed Deer Opportunity
39,39,32A,43,7086e6f0-a4e6-4d2c-8012-8f400afb8f5c,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,32A,"<a href=""https://idfg.idaho.gov/node/76951"" target=""_top"">Unit 32A</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76987"" target=""_top"">Unit 32A</a>"
40,40,31,41,c6e6467e-5486-41ce-9063-ba59a9315a86,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Brownlee,31,"<a href=""https://idfg.idaho.gov/node/76934"" target=""_top"">Unit 31</a>","<a href=""https://idfg.idaho.gov/node/76843"" target=""_top"">Brownlee A-Tag Limits</a>",No White-tailed Deer Opportunity
41,41,36B,49,d176aa8a-6a39-40b3-964a-4629dcf67ced,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Salmon,36B,"<a href=""https://idfg.idaho.gov/node/76886"" target=""_top"">Unit 36B</a>","<a href=""https://idfg.idaho.gov/node/76865"" target=""_top"">Salmon A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76866"""" target=""_top"">Salmon B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77029"" target=""_top"">Unit 36B</a>"
42,42,37A,51,926590ab-8107-45bb-b91d-297cecc88d7b,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,37A,"<a href=""https://idfg.idaho.gov/node/76890"" target=""_top"">Unit 37A</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76974"" target=""_top"">Unit 37A</a>"
43,43,30A,40,caa256df-d1f2-451b-a38c-462a806a2416,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Beaverhead,30A,"<a href=""https://idfg.idaho.gov/node/76889"" target=""_top"">Unit 30A</a>","<a href=""https://idfg.idaho.gov/node/76838"" target=""_top"">Beaverhead A-Tag Limits</a>",No White-tailed Deer Opportunity
44,44,61,78,34aeac37-3c46-41b2-884c-e69b3d2f0b8f,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Island Park,61,"<a href=""https://idfg.idaho.gov/node/76947"" target=""_top"">Unit 61</a>","<a href=""https://idfg.idaho.gov/node/76849"" target=""_top"">Island Park A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76995"" target=""_top"">Unit 61</a>"
45,45,37,50,5da30652-0df8-4c00-b877-528c1a2566fb,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Lemhi,37,"<a href=""https://idfg.idaho.gov/node/76916"" target=""_top"">Unit 37</a>","<a href=""https://idfg.idaho.gov/node/76850"" target=""_top"">Lemhi A-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/77004"" target=""_top"">Unit 37</a>"
46,46,32,42,9573b6a7-edf6-4905-9510-8ef214a3e451,idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",idahofishandgame,"Mon, 10 Apr 2023 19:34:09 GMT",Weiser River,32,"<a href=""https://idfg.idaho.gov/node/76957"" target=""_top"">Unit 32</a>","<a href=""https://idfg.idaho.gov/node/76878"" target=""_top"">Weiser River A-Tag Limits</a> <a href=""https://idfg.idaho.gov/node/76879"""" target=""_top"">Weiser River B-Tag Limits</a>","<a href=""https://idfg.idaho.gov/node/76980"" target=""_top"">Unit 32</a>"
